datetime,sender_original,message_original,date,month,weekday,hour,sender,is_system_or_media,message_for_sentiment,message_clean_nlp,sentence_original,sentence_for_sentiment,sentence_clean_nlp,tokens,tokens_no_stopwords,stems,lemmas,preprocessed_text,sentiment_score,sentiment_label
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,from Ms.,from Ms.,from ms,"['from', 'ms']",['ms'],['ms'],['m'],m,0.0,Neutral
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,"Chandna: Dear all, I hope you are doing well.","Chandna: Dear all, I hope you are doing well.",chandna dear all i hope you are doing well,"['chandna', 'dear', 'all', 'i', 'hope', 'you', 'are', 'doing', 'well']","['chandna', 'dear', 'hope', 'well']","['chandna', 'dear', 'hope', 'well']","['chandna', 'dear', 'hope', 'well']",chandna dear hope well,0.765,Positive
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,Many of you who have recently arrived have been reaching out to request individual appointments.,Many of you who have recently arrived have been reaching out to request individual appointments.,many of you who have recently arrived have been reaching out to request individual appointments,"['many', 'of', 'you', 'who', 'have', 'recently', 'arrived', 'have', 'been', 'reaching', 'out', 'to', 'request', 'individual', 'appointments']","['many', 'recently', 'arrived', 'reaching', 'request', 'individual', 'appointments']","['mani', 'recent', 'arriv', 'reach', 'request', 'individu', 'appoint']","['many', 'recently', 'arrived', 'reaching', 'request', 'individual', 'appointment']",many recently arrived reaching request individual appointment,0.2023,Positive
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,"At the moment, it is difficult for me to schedule separate meetings for each student.","At the moment, it is difficult for me to schedule separate meetings for each student.",at the moment it is difficult for me to schedule separate meetings for each student,"['at', 'the', 'moment', 'it', 'is', 'difficult', 'for', 'me', 'to', 'schedule', 'separate', 'meetings', 'for', 'each', 'student']","['moment', 'difficult', 'schedule', 'separate', 'meetings', 'student']","['moment', 'difficult', 'schedul', 'separ', 'meet', 'student']","['moment', 'difficult', 'schedule', 'separate', 'meeting', 'student']",moment difficult schedule separate meeting student,-0.3612,Negative
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,"Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215.","Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215.",therefore if you would like to meet please join tomorrow at in my office arc,"['therefore', 'if', 'you', 'would', 'like', 'to', 'meet', 'please', 'join', 'tomorrow', 'at', 'in', 'my', 'office', 'arc']","['therefore', 'would', 'like', 'meet', 'join', 'tomorrow', 'office', 'arc']","['therefor', 'would', 'like', 'meet', 'join', 'tomorrow', 'offic', 'arc']","['therefore', 'would', 'like', 'meet', 'join', 'tomorrow', 'office', 'arc']",therefore would like meet join tomorrow office arc,0.7184,Positive
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,We can use this time to answer your individual questions and provide a short onboarding so you can,We can use this time to answer your individual questions and provide a short onboarding so you can,we can use this time to answer your individual questions and provide a short onboarding so you can,"['we', 'can', 'use', 'this', 'time', 'to', 'answer', 'your', 'individual', 'questions', 'and', 'provide', 'a', 'short', 'onboarding', 'so', 'you', 'can']","['use', 'time', 'answer', 'individual', 'questions', 'provide', 'short', 'onboarding']","['use', 'time', 'answer', 'individu', 'question', 'provid', 'short', 'onboard']","['use', 'time', 'answer', 'individual', 'question', 'provide', 'short', 'onboarding']",use time answer individual question provide short onboarding,0.0,Neutral
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,comfortably settle into the programme.,comfortably settle into the programme.,comfortably settle into the programme,"['comfortably', 'settle', 'into', 'the', 'programme']","['comfortably', 'settle', 'programme']","['comfort', 'settl', 'programm']","['comfortably', 'settle', 'programme']",comfortably settle programme,0.4215,Positive
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,"Thank you for your understanding, and I look forward to meeting you.","Thank you for your understanding, and I look forward to meeting you.",thank you for your understanding and i look forward to meeting you,"['thank', 'you', 'for', 'your', 'understanding', 'and', 'i', 'look', 'forward', 'to', 'meeting', 'you']","['understanding', 'look', 'forward', 'meeting']","['understand', 'look', 'forward', 'meet']","['understanding', 'look', 'forward', 'meeting']",understanding look forward meeting,0.3612,Positive
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,"Kind regards, Prof.","Kind regards, Prof.",kind regards prof,"['kind', 'regards', 'prof']","['kind', 'regards', 'prof']","['kind', 'regard', 'prof']","['kind', 'regard', 'prof']",kind regard prof,0.5267,Positive
2025-11-11 13:41:41,Georgios Terzidis,"from Ms. Chandna:

Dear all,
I hope you are doing well.
Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student.

Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme.

Thank you for your understanding, and I look forward to meeting you.

Kind regards,
Prof. Dr. Swati Chandna <This message was edited>",2025-11-11,2025-11,Tuesday,13,Sender_034,False,"from Ms. Chandna: Dear all, I hope you are doing well. Many of you who have recently arrived have been reaching out to request individual appointments. At the moment, it is difficult for me to schedule separate meetings for each student. Therefore, if you would like to meet, please join tomorrow at 14:00 in my office ARC 215. We can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme. Thank you for your understanding, and I look forward to meeting you. Kind regards, Prof. Dr. Swati Chandna <This message was edited>",from ms chandna dear all i hope you are doing well many of you who have recently arrived have been reaching out to request individual appointments at the moment it is difficult for me to schedule separate meetings for each student therefore if you would like to meet please join tomorrow at in my office arc we can use this time to answer your individual questions and provide a short onboarding so you can comfortably settle into the programme thank you for your understanding and i look forward to meeting you kind regards prof dr swati chandna this message was edited,Dr.,Dr.,dr,['dr'],['dr'],['dr'],['dr'],dr,0.0,Neutral
